humidity,temperature,distance,sound_pressure_level
40,3,2500,62.783
41,3,500,82.125
41,3,1000,74.092
41,3,1500,69.252
41,3,2000,65.697
41,3,2500,62.860
42,3,500,82.155
42,3,1000,74.144
42,3,1500,69.315
42,3,2000,65.766
42,3,2500,62.933
43,3,500,82.184
43,3,1000,74.194
43,3,1500,69.376
43,3,2000,65.833
43,3,2500,63.002
44,3,500,82.211
44,3,1000,74.242
44,3,1500,69.434
44,3,2000,65.896
44,3,2500,63.068
45,3,500,82.238
45,3,1000,74.288
45,3,1500,69.490
45,3,2000,65.957
45,3,2500,63.132
46,3,500,82.263
46,3,1000,74.332
46,3,1500,69.543
46,3,2000,66.015
46,3,2500,63.193
47,3,500,82.288
47,3,1000,74.375
47,3,1500,69.594
47,3,2000,66.071
47,3,2500,63.251
48,3,500,82.312
48,3,1000,74.415
48,3,1500,69.643
48,3,2000,66.125
48,3,2500,63.306
49,3,500,82.335
49,3,1000,74.454
49,3,1500,69.690
49,3,2000,66.176
49,3,2500,63.360
50,3,500,82.357
50,3,1000,74.492
50,3,1500,69.735
50,3,2000,66.225
50,3,2500,63.411
51,3,500,82.378
51,3,1000,74.528
51,3,1500,69.778
51,3,2000,66.272
51,3,2500,63.460
52,3,500,82.399
52,3,1000,74.563
52,3,1500,69.819
52,3,2000,66.317
52,3,2500,63.507
53,3,500,82.418
53,3,1000,74.596
53,3,1500,69.859
53,3,2000,66.361
53,3,2500,63.552
54,3,500,82.438
54,3,1000,74.628
54,3,1500,69.897
54,3,2000,66.402
54,3,2500,63.595
55,3,500,82.456
55,3,1000,74.659
55,3,1500,69.933
55,3,2000,66.442
55,3,2500,63.637
56,3,500,82.474
56,3,1000,74.689
56,3,1500,69.968
56,3,2000,66.481
56,3,2500,63.677
57,3,500,82.491
57,3,1000,74.718
57,3,1500,70.002
57,3,2000,66.518
57,3,2500,63.715
58,3,500,82.508
58,3,1000,74.746
58,3,1500,70.035
58,3,2000,66.553
58,3,2500,63.752
59,3,500,82.524
59,3,1000,74.773
59,3,1500,70.066
59,3,2000,66.587
59,3,2500,63.788
60,3,500,82.540
60,3,1000,74.799
60,3,1500,70.096
60,3,2000,66.620
60,3,2500,63.822
61,3,500,82.555
61,3,1000,74.824
61,3,1500,70.125
61,3,2000,66.652
61,3,2500,63.855
62,3,500,82.570
62,3,1000,74.848
62,3,1500,70.153
62,3,2000,66.682
62,3,2500,63.886
63,3,500,82.584
63,3,1000,74.871
63,3,1500,70.180
63,3,2000,66.711
63,3,2500,63.917
64,3,500,82.598
64,3,1000,74.894
64,3,1500,70.206
64,3,2000,66.739
64,3,2500,63.946
65,3,500,82.611
65,3,1000,74.916
65,3,1500,70.231
65,3,2000,66.767
65,3,2500,63.974
66,3,500,82.624
66,3,1000,74.937
66,3,1500,70.256
